,뉴스제목,링크
83,"크림, 새 광고 솔루션 '프리미엄 패키지' 출시",https://zdnet.co.kr/view/?no=20251118221355
84,"강남언니, 장윤주·전종서와 새 캠페인...""최적의 선택 지원""",https://zdnet.co.kr/view/?no=20251118215824
85,"""잇달은 해킹 사고...민관 구분 없을 정도로 공동 대응 해야""",https://zdnet.co.kr/view/?no=20251118212216
86,"국정원 3차장 출신 김선희 교수 ""사이버안보 거버넌스 있어...작동은 안돼""",https://zdnet.co.kr/view/?no=20251118204008
87,"피앤피시큐어, 국내 대형 증권사에 통합 접근제어 및 계정관리 구축",https://zdnet.co.kr/view/?no=20251118212957
88,"금보원, '스테이블 코인과 보안 전략' 세미나 28일 개최",https://zdnet.co.kr/view/?no=20251118210534
89,UAE 세계 최대 AI인프라 구축에 한국 힘 보탠다,https://zdnet.co.kr/view/?no=20251118205647
90,"""AI가 CCTV 속 폭력 포착""...제미나이, '주먹 드는 순간' 95% 정확도로 잡는다",https://zdnet.co.kr/view/?no=20251118200341
91,"""일반 사용자가 보안 취약점 쉽게 해결""...KISA, '클리닝 서비스' 개시",https://zdnet.co.kr/view/?no=20251118194247
92,"창립 14주년 맞은 요기요...""지속 가능한 플랫폼 되도록 노력""",https://zdnet.co.kr/view/?no=20251118192430
93,"KISA, 'AI 분쟁 조정 경연대회' 개최...서울시립대 대상",https://zdnet.co.kr/view/?no=20251118193422
94,'피지컬AI 인터내셔널 포럼 2025' 20일 열려,https://zdnet.co.kr/view/?no=20251118192654
95,더 젊어지는 CJ…88·89년생 여성리더 전진배치,https://zdnet.co.kr/view/?no=20251118185123
96,"KAI, 두바이 에어쇼 참가",https://zdnet.co.kr/view/?no=20251118190819
97,"위메이드-퀀텀솔루션스, 게임 아이템 거래 플랫폼 개발 MOU 체결",https://zdnet.co.kr/view/?no=20251118190450
98,"NSHC ""K-방산, AI 기술로 보안 강화 필수""",https://zdnet.co.kr/view/?no=20251118190254
99,"코스모로보틱스 재활로봇, 호주 TGA 인증",https://zdnet.co.kr/view/?no=20251118185547
100,"서울로보틱스, 디지털 이노베이션 어워드서 과기부 장관상",https://zdnet.co.kr/view/?no=20251118184606
101,세계 기업가정신 주간 한국행사 개막...62명 표창,https://zdnet.co.kr/view/?no=20251118184600
102,"에어버스, 대전에 '테크 허브' 열어",https://zdnet.co.kr/view/?no=20251118184000
103,"수자원공사, 'AI 전환 미래전략 콘퍼런스' 개최",https://zdnet.co.kr/view/?no=20251118182613
104,"건국대, 글로벌 차세대 헬리콥터 기술 R&D서 '리더십' 발휘",https://zdnet.co.kr/view/?no=20251118181407
105,"네이버쇼핑 자사우대 판결 놓고 민주당 ""규제 기준 재논의 필요""",https://zdnet.co.kr/view/?no=20251118163942
106,"'150조' 국민성장펀드, 내달 10일부터 이렇게 운영된다",https://zdnet.co.kr/view/?no=20251118180427
107,"제논, 한국중부발전 2차 AI 프로젝트 수주…액셔너블 업무 자동화 구현",https://zdnet.co.kr/view/?no=20251118174354
108,"인핸스, 국군재정관리단과 AI 기술 협력…국방 혁신 가속",https://zdnet.co.kr/view/?no=20251118173702
109,"칵테일아이오-클로아이, AI 클라우드 동맹 구축…공공·민간 확산 시동",https://zdnet.co.kr/view/?no=20251118173231
110,"NHN클라우드, 아시아 최대 에듀테크 시상식서 금상…AI 이러닝 혁신 주목",https://zdnet.co.kr/view/?no=20251118172447
111,"네이버, 사우디서 기술 영향력 키운다…'시티스케이프 글로벌' 참가",https://zdnet.co.kr/view/?no=20251118171636
112,"롯데이노베이트, 에이스공조와 '엣지 데이터센터' 구축 나선다",https://zdnet.co.kr/view/?no=20251118170852
113,"이마트, 114억원 규모 배임 발생…임원 고소",https://zdnet.co.kr/view/?no=20251118180247
114,"웹툰업계 ""불법 웹툰 사이트 운영자 중형 선고 항소심 판결 환영""",https://zdnet.co.kr/view/?no=20251118160425
115,"한국경영정보학회, 국가데이터센터 변화 주제 세미나 개최",https://zdnet.co.kr/view/?no=20251118180128
116,"[ZD SW 투데이] 베스핀글로벌, 생성형 AI 웨비나서 ROI 극대화 전략 공개 外",https://zdnet.co.kr/view/?no=20251118175946
117,'신세계유니버스클럽' 2년 반만에 사라진다,https://zdnet.co.kr/view/?no=20251118172758
118,차기 신한금융 회장 압축 후보군 4명 발표…내부 3명·외부 1명,https://zdnet.co.kr/view/?no=20251118173649
119,"李대통령 ""이제 글로벌 바이오 강국 도약하자”",https://zdnet.co.kr/view/?no=20251118173746
120,"LG엔솔-삼성SDI 재격돌…국가 ESS 2차전, '안전성' 더 따진다",https://zdnet.co.kr/view/?no=20251118160218
121,"[현장] 이재욱 서울대 AI대학원장 ""지금은 '스케일링 법칙' 시대…AI 인프라 경쟁 심화""",https://zdnet.co.kr/view/?no=20251118170648
122,"韓, 글로벌 AI 인프라 허브로 급부상…빅테크·운용사 데이터센터 투자 '러시'",https://zdnet.co.kr/view/?no=20251118165329
123,"""알뜰주유소 정책 득보다 실…정책 재검토해야""",https://zdnet.co.kr/view/?no=20251118171051
124,"LS, 에식스솔루션즈 상장 반대 주주들 설득 나서",https://zdnet.co.kr/view/?no=20251118170605
125,"행정정보시스템 재난 위기경보 '주의'로 하향…""대구센터서 남은 복구 총력""",https://zdnet.co.kr/view/?no=20251118152451
126,"협동로봇이 바꾼 조선소…HD현대삼호 ""도메인 지식 쌓아야""",https://zdnet.co.kr/view/?no=20251118162745
127,"면세점 부진 벗어날까…롯데·현대 '방긋', 신라·신세계 '갸웃'",https://zdnet.co.kr/view/?no=20251118161719
128,"마브렉스, 가상자산 거래소 고팍스에 MBX 토큰 상장",https://zdnet.co.kr/view/?no=20251118165000
129,폐의약품 어떻게 버리는지 아시나요,https://zdnet.co.kr/view/?no=20251118165756
130,'생리혈 마스크' 진짜 효과 있을까…논란 확산,https://zdnet.co.kr/view/?no=20251118144651
131,"[1분건강] 증상 없는 폐암, 정기검진으로 예방하자",https://zdnet.co.kr/view/?no=20251118165349
132,"에스디생명공학, 대원제약 백인영 본부장 대표 선임",https://zdnet.co.kr/view/?no=20251118165201
133,"환경공단, 'COP30'에서 아태지역 탄소시장 활성화 논의",https://zdnet.co.kr/view/?no=20251118164405
134,메모리 가격 급등에 사재기...아시아 PC 시장 전방위 여파,https://zdnet.co.kr/view/?no=20251118155622
135,CJ그룹 2026년 임원인사 명단,https://zdnet.co.kr/view/?no=20251118163421
136,"CJ그룹, 신임 임원 40명 발탁...젊은 인재·여성 중용",https://zdnet.co.kr/view/?no=20251118163201
137,"사람인, AI·새 서비스로 국내 채용 플랫폼 1위 '굳건'",https://zdnet.co.kr/view/?no=20251118145822
138,"""GM 핸즈프리 '슈퍼크루즈' 국내 첫 출시…韓 시장 중요성 재확인""",https://zdnet.co.kr/view/?no=20251118161257
139,"AI와 금융기술, ESG 경영 변화 이끈다",https://zdnet.co.kr/view/?no=20251118162206
140,"온다, 호스피탈리티 특화 멀티모달 AI 모델 개발",https://zdnet.co.kr/view/?no=20251118161811
141,"""기계 '정적 안전' 끝났다…지능형 제조선 새 규칙 찾아야""",https://zdnet.co.kr/view/?no=20251118152718
142,"스파크랩파트너스-포항연합기술지주, 경북권 창업·투자 생태계 키운다",https://zdnet.co.kr/view/?no=20251118161114
143,"규제과학센터, 18일 약의날 맞아 '제11회 규제과학챗' 토론회 개최",https://zdnet.co.kr/view/?no=20251118160954
144,"스페이스X, 로켓 500회 재활용 성공했다 [우주로 간다]",https://zdnet.co.kr/view/?no=20251118154915
145,"삼성·SK·LG 모두 뛰어든 유리기판…""투자 검증 더 해봐야"" 우려도",https://zdnet.co.kr/view/?no=20251118102518
146,"조승래 의원 ""게임산업, 20년 '규제' 걷어내고 '진흥'으로""…게임법 개정안 남은 과제는?",https://zdnet.co.kr/view/?no=20251118155409
147,"현대차그룹, KT CEO 후보 추천 안했다",https://zdnet.co.kr/view/?no=20251118154721
148,"데이원컴퍼니 '제로베이스', 청년 취업난 문제 푼다",https://zdnet.co.kr/view/?no=20251118154649
149,"29CM ""올겨울 하이넥 퍼 코트 인기""",https://zdnet.co.kr/view/?no=20251118154605
150,"아마존 창립자 '제프 베이조스', 9조 규모 AI스타트업으로 경영 복귀",https://zdnet.co.kr/view/?no=20251118154900
151,"시스코, AI 플랫폼 사업 강화…번역 스타트업 '이지더브스' 인수",https://zdnet.co.kr/view/?no=20251118154648
152,"AX 스타트업 바이버스, '카카오벤처스·서울대기술지주'서 시드 투자 유치",https://zdnet.co.kr/view/?no=20251118104256
153,"에이직랜드, 'TSMC OIP 생태계 포럼' 2년 연 참가",https://zdnet.co.kr/view/?no=20251118143558
154,"보훈공단, 2025년 전국 보훈요양원장 회의 개최",https://zdnet.co.kr/view/?no=20251118154034
155,"”결합하면 싸진다""...티오더, '더드림 패키지' 출시",https://zdnet.co.kr/view/?no=20251118154014
156,"""AI로 실시간 설계""…엔비디아, 오픈 모델 '아폴로' 공개",https://zdnet.co.kr/view/?no=20251118153923
157,"""반도체 개발 문턱 낮춰드려요""…프라임마스의 칩렛 혁신",https://zdnet.co.kr/view/?no=20251118143045
158,"장기조직기증원 ·한양대구리병원, 기증활성화 프로그램 운영 업무협약",https://zdnet.co.kr/view/?no=20251118153747
159,JO1 사토 케이고가 일본서 '닥터지' 브랜드 알린다,https://zdnet.co.kr/view/?no=20251118152206
160,"엔비디아, AI 슈퍼컴퓨터 확대 지원…""질병·우주·양자 연구 가속""",https://zdnet.co.kr/view/?no=20251118152846
161,"아이티센피엔에스, 팔로알토와 AI 시큐리티 이노베이션 센터 개소",https://zdnet.co.kr/view/?no=20251118152353
162,"기업은행, 'IBK창공 실리콘밸리 센터' 개소",https://zdnet.co.kr/view/?no=20251118133720
163,"인덴트, AI 기반 글로벌 D2C 커머스 SaaS 플랫폼 '보부샵' 출시",https://zdnet.co.kr/view/?no=20251118151934
164,"""갤럭시 버즈4 프로, 이렇게 나온다""",https://zdnet.co.kr/view/?no=20251118135350
165,"차기 우리금융 회장, 한 달 내 숏리스트 공개",https://zdnet.co.kr/view/?no=20251118150515
166,"""릴스 무단 사용 차단""…메타, 콘텐츠 보호 도구 출시",https://zdnet.co.kr/view/?no=20251118145937
167,"금융사기 조직 증가세…SAS ""AI·네트워크 탐지 전략 필수""",https://zdnet.co.kr/view/?no=20251118151533
168,"[현장] 에퀴닉스 ""AI 시대 분산형 인프라가 경쟁력""…'SL4'서 차세대 전략 공개",https://zdnet.co.kr/view/?no=20251118151205
169,"""개인정보 유출 미리 대응""…현대차그룹, 커넥티드카 사이버보안 조직 신설",https://zdnet.co.kr/view/?no=20251118140830
170,"수억 줄에 달하는 소스코드, 이제 AI가 대신 읽어준다",https://zdnet.co.kr/view/?no=20251118150835
171,"보안 상장사 12곳 ""K-보안 가치 입증""...24일 공동 IR",https://zdnet.co.kr/view/?no=20251118150938
172,"한국문화정보원 ""AI는 아직 한국 문화를 읽지 못한다”",https://zdnet.co.kr/view/?no=20251118150217
173,지리산 천왕봉 항일 바위글씨 등 국립공원 중요문화자원 5곳 선정,https://zdnet.co.kr/view/?no=20251118150214
174,AI 거품 논란 증시 강타…'연말 랠리' 가능할까,https://zdnet.co.kr/view/?no=20251118133155
175,"구글, 'AI 모드'에 항공권·이벤트 예약 기능 추가",https://zdnet.co.kr/view/?no=20251118093853
176,KT CEO 후보 공모에 33명 몰렸다,https://zdnet.co.kr/view/?no=20251118145657
177,"팔로알토네트웍스, '유닛42' 韓 지원…""기업 보안 역량 강화""",https://zdnet.co.kr/view/?no=20251118144640
178,"""소리 나는 곳 눈으로 본다""…폰에 붙여 쓰는 음향 카메라 화제",https://zdnet.co.kr/view/?no=20251118101131
179,"""이베이 사칭 사이트 5배 이상 급증""…연말 쇼핑 시즌 개인정보 주의",https://zdnet.co.kr/view/?no=20251118141247
180,'의학 드라마'로 AI 실력 측정했더니...희귀질환 진단 정확도 38% 그쳐,https://zdnet.co.kr/view/?no=20251118140519
181,비트코인 투자자들 '패닉'…9만 달러도 깨질까,https://zdnet.co.kr/view/?no=20251118090723
182,"모레-텐스토렌트, AI 데이터센터 솔루션 공개…단일 플랫폼에서 추론·학습 동시 지원",https://zdnet.co.kr/view/?no=20251118135724
183,"이재용 회장, UAE 출장길…AI 등 첨단산업 협력 논의",https://zdnet.co.kr/view/?no=20251118134112
184,증권사만 나홀로 3분기 대출 증가세,https://zdnet.co.kr/view/?no=20251118131402
185,'기자가 뽑은 올해의 과학자상'에 김백민·김재경·박기덕 3인 수상,https://zdnet.co.kr/view/?no=20251118133210
186,"액토즈 파이널판타지14, 테마 카페 '카페 크리스타리움' 28일 정식 오픈",https://zdnet.co.kr/view/?no=20251118131354
187,'30만원' 아이폰 포켓 나오자마자 완판…직접 써봤더니,https://zdnet.co.kr/view/?no=20251118130131
188,"엔씨 '아이온2', 19일 자정 한국·대만 정식 출시",https://zdnet.co.kr/view/?no=20251118130847
189,"'마비노기 모바일', 대상 수상 감사 '캠파 라이브'…""마비 유니버스 전체 축제로""",https://zdnet.co.kr/view/?no=20251118130411
190,"비렉스 트리플체어, 굿디자인 어워드 수상",https://zdnet.co.kr/view/?no=20251118125157
191,"""휴머노이드 멀었다""…테라다인이 제시한 대안은",https://zdnet.co.kr/view/?no=20251118121531
192,"노타, '자율주행차 M.AX 얼라이언스' 참여…AI 최적화 기술로 국가 경쟁력 강화",https://zdnet.co.kr/view/?no=20251117165456
193,"한국 AI·클라우드 허브 부상…ESR, 인천에 80MW급 'KR1' 데이터센터 착공",https://zdnet.co.kr/view/?no=20251117174209
194,"문체부, 인공지능·디지털혁신 사례 공유...""문화산업 미래 전략 모색""",https://zdnet.co.kr/view/?no=20251118120540
195,"해외직구 헤어드라이어, 선풍기 등 7개 제품 전파 안전성 부적합",https://zdnet.co.kr/view/?no=20251118103636
196,"""투자할 돈도, 돌릴 인력도 없다”…제조기업 82% AI 도입 주저",https://zdnet.co.kr/view/?no=20251118095719
197,"골프존, '2025 팔도페스티벌 시즌2' 진행...총상금 5억 규모",https://zdnet.co.kr/view/?no=20251118104621
198,"바이낸스, 블랙록 'BUIDL' 토큰화 펀드 담보 자산으로 통합",https://zdnet.co.kr/view/?no=20251118115031
199,"두나무, 업비트 '코인모으기' 신규 가입자에 최대 5만원 상당 비트코인 지급 이벤트",https://zdnet.co.kr/view/?no=20251118114547
